"CDUID","obs_totalpop","mean_obs_per_observer","stderror","observer_totalpop","taxa"
"2447",0.000265299969852276,3.14285714285714,1.2804123485475,8.44136267711788e-05,"mammals"
"2448",6.6711140760507e-05,1,NA,6.6711140760507e-05,"mammals"
"2449",6.25814863102999e-05,1.2,0.2,5.21512385919166e-05,"mammals"
"2450",4.5382346267302e-05,1,NA,4.5382346267302e-05,"mammals"
"2451",5.64971751412429e-05,1,0,5.64971751412429e-05,"mammals"
"2452",0.000122339124051872,2.5,1.5,4.89356496207487e-05,"mammals"
"2453",8.05315079524864e-05,2,1,4.02657539762432e-05,"mammals"
"2454",0.000146591741998534,2.4,1.4,6.10798924993892e-05,"mammals"
"2455",0.000230680507497116,8,NA,2.88350634371396e-05,"mammals"
"2456",0.000187124081087102,4.2,2.33238075793812,4.45533526397861e-05,"mammals"
"2457",0.000322285614738034,1.68181818181818,0.178817225561237,0.000191629284438831,"mammals"
"2458",0.000147475749138665,1.93333333333333,0.317798943645783,7.62805598993097e-05,"mammals"
"2459",2.72479564032698e-05,1,0,2.72479564032698e-05,"mammals"
"2460",3.37097589752233e-05,1.33333333333333,0.333333333333333,2.52823192314175e-05,"mammals"
"2461",6.48561005269558e-05,1.33333333333333,0.333333333333333,4.86420753952169e-05,"mammals"
"2462",0.000864998455359901,2.625,0.939303820212963,0.000329523221089486,"mammals"
"2463",0.000125707102451288,1.5,0.5,8.38047349675257e-05,"mammals"
"2464",6.78035054412313e-06,1,NA,6.78035054412313e-06,"mammals"
"2465",3.81946654783882e-05,1.5,0.30731814857643,2.54631103189255e-05,"mammals"
"2466",0.000189211168338303,2.37414965986395,0.285095691134587,7.9696394686907e-05,"mammals"
"2467",0.000118317401998941,1.46153846153846,0.215293020817265,8.09540118940125e-05,"mammals"
"2468",0.000273384104667057,1.4,0.4,0.000195274360476469,"mammals"
"2469",4.78812544888676e-05,1,NA,4.78812544888676e-05,"mammals"
"2470",8.28500414250207e-05,1.66666666666667,0.333333333333333,4.97100248550124e-05,"mammals"
"2471",9.42848854076008e-05,1.08333333333333,0.0833333333333333,8.70322019147084e-05,"mammals"
"2472",8.45844787481497e-05,1.33333333333333,0.333333333333333,6.34383590611123e-05,"mammals"
"2473",0.000158850977926333,4.8,2.22261107708929,3.30939537346527e-05,"mammals"
"2474",0.000216346153846154,2.25,0.629152869605896,9.61538461538462e-05,"mammals"
"2475",0.000389725420726306,3.38461538461538,1.09508494892629,0.000115146147032772,"mammals"
"2476",0.000413880929640242,1.3,0.213437474581095,0.000318369945877109,"mammals"
"2477",0.000452830188679245,1.28571428571429,0.194104634424788,0.000352201257861635,"mammals"
"2478",0.00115489130434783,1.7,0.284261495284095,0.000679347826086957,"mammals"
"2479",0.000322486074464966,1.375,0.263052140404576,0.000234535326883612,"mammals"
"2480",0.00181776868893433,2.66666666666667,0.513314780122357,0.000681663258350375,"mammals"
"2481",0.000206366797875186,1.74193548387097,0.303979844887477,0.000118469828409829,"mammals"
"2482",0.0023192803728189,2.97222222222222,0.877845587093506,0.000780318630107294,"mammals"
"2483",0.000939663699307616,1.9,0.546707315561891,0.000494559841740851,"mammals"
"2484",0.000707463742483198,2.5,0.866025403784439,0.000282985496993279,"mammals"
"2485",6.1652281134402e-05,1,NA,6.1652281134402e-05,"mammals"
"2486",2.50093785169439e-05,1,NA,2.50093785169439e-05,"mammals"
"2487",4.8661800486618e-05,1,NA,4.8661800486618e-05,"mammals"
"2488",4.20786871449611e-05,1,NA,4.20786871449611e-05,"mammals"
"2489",0.000190227083581025,2.66666666666667,1.20185042515466,7.13351563428843e-05,"mammals"
"2490",6.70465973851827e-05,1,NA,6.70465973851827e-05,"mammals"
"2491",0.000258564964447317,1.14285714285714,0.142857142857143,0.000226244343891403,"mammals"
"2492",4.0983606557377e-05,1,NA,4.0983606557377e-05,"mammals"
"2493",0.000156433320297223,2,0.707106781186548,7.82166601486116e-05,"mammals"
"2494",0.000111362019364618,1.5,0.230283093235919,7.42413462430785e-05,"mammals"
"2495",0.00599820948970457,2.91304347826087,0.743650443506567,0.00205908683974933,"mammals"
"2496",9.58619587793577e-05,1,0,9.58619587793577e-05,"mammals"
"2497",7.69526741054252e-05,1,0,7.69526741054252e-05,"mammals"
"2498",0.000260078023407022,1.5,0.5,0.000173385348938015,"mammals"
"2499",0.000471809389006841,1.81818181818182,0.295978556292722,0.000259495163953763,"mammals"
